epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9288,3.97659,3.46206,2.82986,0.02203,0.40106,0.03864,0.01094,3.11348,3.21279,2.1439,0.0001,0.0001,0.0001
2,38.9495,3.2555,2.88834,2.1532,0.02072,0.37731,0.02388,0.0065,3.42974,3.05355,2.69978,0.000215644,0.000215644,0.000215644
3,45.0334,3.07371,2.44087,1.96147,0.02652,0.48285,0.0781,0.02104,3.07323,2.88124,2.14008,0.000326536,0.000326536,0.000326536
4,51.283,3.00085,2.24307,1.94508,0.02841,0.51715,0.09606,0.0262,3.09928,2.77717,2.10669,0.000432676,0.000432676,0.000432676
5,57.175,2.80422,2.18756,1.83645,0.02594,0.4723,0.06465,0.01635,3.30396,2.78625,2.18445,0.000534064,0.000534064,0.000534064
6,62.5201,2.76451,2.12127,1.8162,0.03188,0.58047,0.04222,0.01105,3.18791,2.65725,2.22434,0.0006307,0.0006307,0.0006307
7,67.7852,2.71973,2.06679,1.83212,0.10049,0.40369,0.113,0.03076,3.05996,2.48397,2.17473,0.000722584,0.000722584,0.000722584
8,72.9482,2.7535,2.04995,1.8157,0.21946,0.13193,0.11804,0.03595,3.0093,2.41283,2.14553,0.000809716,0.000809716,0.000809716
9,78.2917,2.70521,2.0763,1.86959,0.22942,0.10026,0.09915,0.02594,3.22046,2.48788,2.28474,0.000892096,0.000892096,0.000892096
10,83.6356,2.69216,2.02602,1.83046,0.21137,0.11873,0.08051,0.02166,3.22613,2.67636,2.26468,0.000969724,0.000969724,0.000969724
11,88.7333,2.71267,2.02057,1.82057,0.20089,0.16887,0.09715,0.028,3.07705,2.54914,2.14887,0.0010426,0.0010426,0.0010426
12,93.775,2.60605,2.00187,1.77779,0.22242,0.17963,0.15525,0.04744,2.90068,2.43647,2.12456,0.00111072,0.00111072,0.00111072
13,98.055,2.63335,1.99858,1.82112,0.2007,0.15303,0.1004,0.03243,3.02453,2.53163,2.17725,0.0011741,0.0011741,0.0011741
14,103.177,2.5496,1.94784,1.74651,0.18143,0.1715,0.11233,0.03817,2.98197,2.64219,2.11966,0.00123272,0.00123272,0.00123272
15,108.837,2.58073,1.94854,1.74627,0.20294,0.21108,0.12076,0.03617,3.06112,2.42666,2.13315,0.00128658,0.00128658,0.00128658
16,113.848,2.60761,2.04824,1.78829,0.18136,0.19261,0.1124,0.03415,3.01868,2.38239,2.11931,0.0013357,0.0013357,0.0013357
17,119.77,2.48085,1.96528,1.72344,0.17079,0.20317,0.09535,0.0284,3.11912,2.40646,2.1933,0.0013664,0.0013664,0.0013664
18,124.857,2.51578,1.97944,1.73389,0.15585,0.14248,0.06425,0.01717,3.28749,2.5283,2.33907,0.0013268,0.0013268,0.0013268
19,131.309,2.54377,1.97343,1.74901,0.16816,0.18734,0.09923,0.02736,3.08346,2.48117,2.17632,0.0012872,0.0012872,0.0012872
20,136.386,2.53567,1.97496,1.76194,0.24339,0.20317,0.13078,0.0383,3.04178,2.4111,2.07657,0.0012476,0.0012476,0.0012476
21,141.439,2.5223,1.97526,1.72792,0.2405,0.20971,0.14705,0.04281,2.97472,2.42467,2.0016,0.001208,0.001208,0.001208
22,145.542,2.47365,1.95795,1.71689,0.22323,0.21004,0.14564,0.0456,2.87869,2.35123,1.99625,0.0011684,0.0011684,0.0011684
23,150.1,2.46738,1.90767,1.70769,0.21983,0.19789,0.14374,0.04257,2.90859,2.36968,2.0572,0.0011288,0.0011288,0.0011288
24,154.779,2.43839,1.93097,1.70708,0.17486,0.20317,0.11496,0.03499,2.96245,2.42236,2.03095,0.0010892,0.0010892,0.0010892
25,160.62,2.39956,1.92095,1.6774,0.20516,0.17678,0.1216,0.03963,2.94667,2.49136,2.0223,0.0010496,0.0010496,0.0010496
26,165.884,2.37857,1.89969,1.66894,0.23009,0.20738,0.13471,0.04146,2.88926,2.48108,1.9345,0.00101,0.00101,0.00101
27,170.143,2.40857,1.95974,1.67457,0.24643,0.22691,0.15051,0.04731,2.8327,2.41527,1.91209,0.0009704,0.0009704,0.0009704
28,175.299,2.36724,1.87515,1.6244,0.28219,0.26385,0.18669,0.05826,2.77126,2.2498,1.96923,0.0009308,0.0009308,0.0009308
29,179.415,2.40278,1.9311,1.65031,0.28185,0.26121,0.1853,0.05798,2.77895,2.2258,1.99504,0.0008912,0.0008912,0.0008912
30,184.592,2.36317,1.88185,1.64095,0.3635,0.24538,0.21651,0.06815,2.72063,2.18909,1.9445,0.0008516,0.0008516,0.0008516
31,189.384,2.34157,1.8584,1.65624,0.30979,0.24011,0.20118,0.06655,2.70664,2.23454,1.89851,0.000812,0.000812,0.000812
32,193.986,2.31791,1.89177,1.62573,0.25904,0.20844,0.16811,0.06027,2.88721,2.35703,1.95602,0.0007724,0.0007724,0.0007724
33,199.15,2.29015,1.86569,1.63936,0.26474,0.18734,0.15648,0.056,2.9743,2.43421,1.97653,0.0007328,0.0007328,0.0007328
34,204.645,2.35176,1.82592,1.60906,0.27044,0.15831,0.14217,0.04794,2.9955,2.50455,1.98789,0.0006932,0.0006932,0.0006932
35,208.895,2.33327,1.81293,1.61147,0.25041,0.15567,0.13331,0.0441,3.02961,2.47797,2.00842,0.0006536,0.0006536,0.0006536
36,214.234,2.24128,1.81739,1.58549,0.27003,0.219,0.16892,0.05121,2.86999,2.3648,1.94236,0.000614,0.000614,0.000614
