epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9574,3.97659,3.46206,2.82986,0.02203,0.40106,0.03864,0.01094,3.11348,3.21279,2.1439,0.0001,0.0001,0.0001
2,53.0211,3.25448,2.88545,2.1517,0.02058,0.37467,0.02445,0.00634,3.43721,3.05278,2.73358,0.000217822,0.000217822,0.000217822
3,58.2975,3.07825,2.4333,1.96349,0.02812,0.51187,0.07155,0.01878,3.09758,2.86751,2.14974,0.000333268,0.000333268,0.000333268
4,64.0342,2.9942,2.24377,1.94271,0.02652,0.48285,0.08941,0.02425,3.10678,2.80341,2.11897,0.000446338,0.000446338,0.000446338
5,69.1577,2.80095,2.21401,1.84857,0.02667,0.48549,0.05023,0.01202,3.32952,2.8028,2.20341,0.000557032,0.000557032,0.000557032
6,73.6492,2.752,2.11962,1.81709,0.03171,0.55673,0.07678,0.02227,3.15041,2.58675,2.20315,0.00066535,0.00066535,0.00066535
7,78.1886,2.72156,2.0356,1.83932,0.09151,0.36675,0.10171,0.02705,3.20782,2.56472,2.21953,0.000771292,0.000771292,0.000771292
8,82.8033,2.75782,2.03365,1.82782,0.22133,0.1372,0.10463,0.03272,3.11675,2.49425,2.24688,0.000874858,0.000874858,0.000874858
9,87.3066,2.70075,2.06961,1.86133,0.28377,0.09513,0.08984,0.02597,3.20013,2.52942,2.21909,0.000976048,0.000976048,0.000976048
10,91.6077,2.69663,2.03607,1.82577,0.20088,0.07761,0.0748,0.02224,3.22464,2.60885,2.2403,0.00107486,0.00107486,0.00107486
11,95.0807,2.70244,2.04758,1.81632,0.1947,0.14248,0.11499,0.03492,3.09337,2.53671,2.16795,0.0011713,0.0011713,0.0011713
12,99.2171,2.59328,2.01774,1.77947,0.18678,0.11346,0.10218,0.0349,3.06489,2.49875,2.15851,0.00126536,0.00126536,0.00126536
13,102.675,2.66054,2.02158,1.82999,0.11822,0.21636,0.08576,0.02739,3.03047,2.59117,2.14209,0.00135705,0.00135705,0.00135705
14,106.103,2.56296,1.96,1.74523,0.17598,0.17414,0.09462,0.02806,3.00064,2.51622,2.11055,0.00144636,0.00144636,0.00144636
15,110.589,2.5875,1.97783,1.76998,0.18305,0.1715,0.11124,0.03423,2.95336,2.43712,2.06182,0.00153329,0.00153329,0.00153329
16,114.838,2.64358,2.07434,1.79705,0.28374,0.12438,0.12375,0.03704,3.01496,2.43094,2.1116,0.00161785,0.00161785,0.00161785
17,119.713,2.54101,1.99412,1.77205,0.21579,0.16989,0.11346,0.03423,3.05527,2.52021,2.20825,0.0016832,0.0016832,0.0016832
18,123.145,2.51509,2.00333,1.76486,0.1745,0.20053,0.10728,0.0301,2.98772,2.44835,2.14382,0.0016634,0.0016634,0.0016634
19,128.412,2.52195,2.00171,1.76936,0.20422,0.18621,0.10691,0.03129,2.92843,2.43524,2.14249,0.0016436,0.0016436,0.0016436
20,132.757,2.51421,2.01238,1.78303,0.18162,0.1504,0.08479,0.02341,3.07952,2.54727,2.12205,0.0016238,0.0016238,0.0016238
21,137.623,2.53408,1.99712,1.76807,0.18434,0.20317,0.10252,0.03097,3.01858,2.52021,2.10633,0.001604,0.001604,0.001604
22,141.087,2.51006,1.99443,1.73339,0.18201,0.21372,0.12368,0.0404,3.01514,2.38404,2.03037,0.0015842,0.0015842,0.0015842
23,145.139,2.45638,1.92232,1.71497,0.2193,0.23747,0.14301,0.04489,2.99481,2.47261,2.03408,0.0015644,0.0015644,0.0015644
24,149.301,2.47617,1.93916,1.72271,0.13435,0.17942,0.08696,0.02758,2.98876,3.06602,2.06654,0.0015446,0.0015446,0.0015446
25,153.677,2.44,1.94478,1.70312,0.13911,0.20317,0.09634,0.03173,2.9193,2.95991,2.0309,0.0015248,0.0015248,0.0015248
26,158.283,2.40181,1.93997,1.70367,0.10385,0.2058,0.07207,0.02291,3.08932,3.24225,2.13505,0.001505,0.001505,0.001505
27,162.905,2.42707,2.0053,1.71028,0.1834,0.21108,0.11074,0.03325,2.95521,2.84634,2.03676,0.0014852,0.0014852,0.0014852
28,167.338,2.41689,1.9085,1.67741,0.2635,0.23747,0.16022,0.0463,2.77587,2.47027,1.94818,0.0014654,0.0014654,0.0014654
29,170.84,2.4496,1.97023,1.69198,0.25894,0.18734,0.14348,0.04179,2.84219,2.41126,1.982,0.0014456,0.0014456,0.0014456
30,175.281,2.43172,1.94042,1.67447,0.27484,0.22427,0.18562,0.05121,2.77537,2.28809,1.99938,0.0014258,0.0014258,0.0014258
31,178.681,2.42797,1.90624,1.6912,0.26412,0.26385,0.19378,0.0577,2.76771,2.29493,1.9664,0.001406,0.001406,0.001406
32,183.115,2.39387,1.90575,1.66634,0.2552,0.25043,0.17947,0.06025,2.72691,2.30721,1.93057,0.0013862,0.0013862,0.0013862
33,186.497,2.34329,1.8843,1.67549,0.25629,0.24802,0.1829,0.0584,2.73385,2.29073,1.92717,0.0013664,0.0013664,0.0013664
34,191.225,2.41038,1.88862,1.6471,0.2236,0.19789,0.12906,0.04074,3.0009,2.50619,2.01989,0.0013466,0.0013466,0.0013466
35,195.144,2.43454,1.88864,1.65727,0.20951,0.16623,0.11458,0.03431,2.9679,2.60475,2.02946,0.0013268,0.0013268,0.0013268
36,198.54,2.3542,1.88355,1.64546,0.29669,0.18206,0.15816,0.04487,2.82705,2.6189,1.98236,0.001307,0.001307,0.001307
37,203.021,2.39344,1.91667,1.66957,0.21007,0.2058,0.14864,0.04587,2.8383,2.54958,2.00758,0.0012872,0.0012872,0.0012872
