epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3538,3.62789,3.25451,2.5156,0.02101,0.38259,0.0433,0.00995,3.41809,3.03101,2.4753,0.00026,0.00026,0.00026
2,65.9737,3.20441,2.39213,1.95732,0.02551,0.46438,0.05721,0.01472,3.15257,2.75992,2.12494,0.000534654,0.000534654,0.000534654
3,74.2799,3.06817,2.23025,1.93148,0.12867,0.23747,0.08098,0.02255,3.40961,2.6408,2.30085,0.000803764,0.000803764,0.000803764
4,78.8152,2.93718,2.17546,1.88484,0.14713,0.16887,0.07803,0.02352,3.16882,2.36847,2.21658,0.00106733,0.00106733,0.00106733
5,84.341,2.84497,2.0723,1.8402,0.13859,0.15495,0.08516,0.02198,3.05572,2.55047,2.10159,0.00132535,0.00132535,0.00132535
6,88.9529,2.81013,2.08435,1.85168,0.17378,0.22427,0.12707,0.03859,3.05949,2.32808,2.1767,0.00157783,0.00157783,0.00157783
7,93.0324,2.91087,2.0596,1.89562,0.17578,0.19261,0.12103,0.03754,2.99706,2.30137,2.1038,0.00182476,0.00182476,0.00182476
8,97.2925,2.77351,2.06491,1.8336,0.19389,0.17678,0.10538,0.0337,2.9928,2.28253,2.08435,0.0018614,0.0018614,0.0018614
9,101.394,2.72597,1.97538,1.80703,0.22303,0.23219,0.13994,0.04484,2.82956,2.19317,1.95803,0.0018416,0.0018416,0.0018416
10,105.816,2.71473,2.03533,1.827,0.20388,0.23219,0.12564,0.03705,2.94727,2.3479,2.06854,0.0018218,0.0018218,0.0018218
11,110.324,2.68971,2.02311,1.80719,0.17812,0.22427,0.11558,0.03729,3.021,2.42186,2.13418,0.001802,0.001802,0.001802
12,114.43,2.69294,2.01234,1.80454,0.19221,0.219,0.12757,0.04021,3.05953,2.40182,2.11868,0.0017822,0.0017822,0.0017822
